20
# x y z
10	-0.5	0
10	-3	0
10	-5.5	0
10	-8	0
10	-10.5	0
10	-13	0
10	-15.5	0
10	-18	0
10	-20.5	0
10	-23	0
-10	-0.5	0
-10	-3	0
-10	-5.5	0
-10	-8	0
-10	-10.5	0
-10	-13	0
-10	-15.5	0
-10	-18	0
-10	-20.5	0
-10	-23	0
100
# g s err t valid 
11	1	4.82932942441040e-05	3.82593350124401e-02	1
12	1	4.41063487208564e-05	3.40847241559916e-02	1
13	1	4.05124478746308e-05	3.04994103883755e-02	1
14	1	3.95697248993137e-05	2.95002769173004e-02	1
15	1	3.91504992554927e-05	2.91585902726800e-02	1
16	1	3.94062445692182e-05	2.93269881855685e-02	1
17	1	4.04850789814008e-05	3.04625186424700e-02	1
18	1	4.20223256871158e-05	3.20364963300718e-02	1
19	1	4.33007139629300e-05	3.33677796663148e-02	1
20	1	4.46721222343580e-05	3.46108885232763e-02	1
11	2	4.40799249271027e-05	3.41427516649550e-02	1
12	2	3.98929794038551e-05	2.98818307558572e-02	1
13	2	3.62990785576295e-05	2.62787645802790e-02	1
14	2	3.53343730770138e-05	2.53762931895314e-02	1
15	2	3.48853990198248e-05	2.49446525295733e-02	1
16	2	3.51282825373412e-05	2.50688728778107e-02	1
17	2	3.61941009631559e-05	2.61687823627058e-02	1
18	2	3.76730504020390e-05	2.76950123905658e-02	1
19	2	3.89271364866278e-05	2.89652158924531e-02	1
20	2	4.02985447580558e-05	3.02494864337762e-02	1
11	3	4.05667849439797e-05	3.05128556447177e-02	1
12	3	3.63656394309270e-05	2.63655865282943e-02	1
13	3	3.27580813935216e-05	2.27150158939019e-02	1
14	3	3.17218018322358e-05	2.17097598637379e-02	1
15	3	3.12054342620598e-05	2.12449157097442e-02	1
16	3	3.14057213435370e-05	2.14095110010824e-02	1
17	3	3.24624453252716e-05	2.24672478771675e-02	1
18	3	3.39413947641547e-05	2.38479294699760e-02	1
19	3	3.51628009657074e-05	2.51502514912946e-02	1
20	3	3.65154052592074e-05	2.65156870791371e-02	1
11	4	3.95930947255321e-05	2.96516242932033e-02	1
12	4	3.53501533971844e-05	2.53163015731693e-02	1
13	4	3.17289152139648e-05	2.17710831994982e-02	1
14	4	3.06095094440121e-05	2.05793330704463e-02	1
15	4	3.00328156549122e-05	2.00469778454267e-02	1
16	4	3.01503122858711e-05	2.01500485752753e-02	1
17	4	3.11339440487768e-05	2.11453707881051e-02	1
18	4	3.25156006932840e-05	2.25519711726963e-02	1
19	4	3.36619966910278e-05	2.36617142690596e-02	1
20	4	3.49761256496469e-05	2.49924355549245e-02	1
11	5	3.91108298439382e-05	2.91602373311241e-02	1
12	5	3.48139009884355e-05	2.47825108725902e-02	1
13	5	3.11855446953059e-05	2.11534596755254e-02	1
14	5	3.00157448609929e-05	2.00328441831289e-02	1
15	5	2.93433371829481e-05	1.93621657689358e-02	1
16	5	2.93530959185712e-05	1.93607222030729e-02	1
17	5	3.02276364632720e-05	2.02637034182409e-02	1
18	5	3.15708803698416e-05	2.15378477462745e-02	1
19	5	3.25951941174597e-05	2.25997538239825e-02	1
20	5	3.39093230760788e-05	2.38506377080706e-02	1
11	6	3.92332444450093e-05	2.92281196763628e-02	1
12	6	3.49134580046957e-05	2.48677122965877e-02	1
13	6	3.12591266993261e-05	2.11912533693365e-02	1
14	6	3.00047493587723e-05	1.99727588529028e-02	1
15	6	2.92557044129896e-05	1.92547342398756e-02	1
16	6	2.92045760432683e-05	1.92474015093880e-02	1
17	6	2.99587850139562e-05	1.99850481760005e-02	1
18	6	3.13020289205258e-05	2.13230009537409e-02	1
19	6	3.22064889477271e-05	2.22289513476985e-02	1
20	6	3.35106835099520e-05	2.35022124972818e-02	1
11	7	3.99986275425391e-05	3.00213462472757e-02	1
12	7	3.56775839286760e-05	2.56884437520106e-02	1
13	7	3.20043780068293e-05	2.19723726816113e-02	1
14	7	3.06909982701095e-05	2.06156083548361e-02	1
15	7	2.99149496964047e-05	1.99224974482760e-02	1
16	7	2.98475506005490e-05	1.98703278760140e-02	1
17	7	3.05815257315961e-05	2.05331012723528e-02	1
18	7	3.12583366498102e-05	2.12645271221175e-02	1
